Location,Frequency,Latitude,Longitude
rápida,1,-3.4675588,-80.2332134
mahadev,1,24.6224986,82.17387597316167
delhi,1,28.6273928,77.1716954
the united states,1,47.8281626,-122.598365
united states turkiye,1,40.7596978,-73.9202099
mexico,1,19.4326296,-99.1331785
manhattan,1,40.788655250000005,-73.9603027827792
miami,1,25.7741728,-80.19362
kakioka,1,36.2341439,140.1893406
india,2,22.3511148,78.6677428
the red sea,2,28.5083673,33.1280457
south korea,3,36.638392,127.6961188
indonesia,3,-2.4833826,117.8902853
la,2,20.0171109,103.378253
wajima city,2,37.291727800000004,136.7643603237964
scotland,1,56.7861112,-4.1140518
moon earth,1,-37.8708688,144.9759784
ukraine,2,49.4871968,31.2718321
britain,1,54.3151594,-1.9181532111487878
bangkok,1,-7.0964164,112.5124298
california,6,36.7014631,-118.755997
florida,1,27.7567667,-81.4639835
واحد,5,36.5399296,51.1757442
kenya,1,1.4419683,38.4313975
yakın,1,11.6395007,-1.1651141
osaka,1,34.7021912,135.4955866
taiwan,2,23.5983227,120.83537694479215
korea,3,36.638392,127.6961188
iran,8,32.6475314,54.5643516
northeast,2,21.928672050000003,105.98637605162554
لبنان,1,33.8750629,35.843409
saudi arabia,1,25.6242618,42.3528328
asia,1,51.2086975,89.2343748
west coast,13,-42.5638896,171.45233400435404
israel,4,30.8124247,34.8594762
los angeles,3,34.0536909,-118.242766
nación,1,-33.333227,-60.2194713
la region de ishikawa,1,-25.4740865,-49.3198579
us,2,39.7837304,-100.445882
iraq,1,33.0955793,44.1749775
caribbean,1,18.4,-75.0
japan korea,1,37.57516535,126.98011554322946
san francisco,1,37.7792588,-122.4193286
the west coast,7,53.5265333,-113.4884667
earth,1,34.2331373,-102.4107493
أعلنت,1,13.13615,23.829853
el terremoto,1,21.9689173,-101.9844039
north korea,2,40.3736611,127.0870417
kitakyushu city,1,33.8829996,130.8749015
istanbul,1,41.0766019,29.052495
يلعن,1,32.069329249999996,34.84334338615306
gibi,1,6.561025750000001,-10.006364729001913
russia,4,64.6863136,97.7453061
east asia,1,-6.1951151,106.69858181396745
pakistan,2,30.3308401,71.247499
gaza,4,31.4432234,34.360007
japan,598,36.5748441,139.2394179
tokyo,13,35.6821936,139.762221
west japan,1,35.666924,139.724555
त_रह,1,-29.6487358,28.5526192
ce,1,-5.3264703,-39.7156073
ethiopia,1,10.2116702,38.6521203
china,9,35.000074,104.999927
الأولى,1,31.180486600000002,31.200973048069457
اپنی,1,43.0847622,40.8170487
southafrica,1,-26.16944375,28.194084597621828
syria,1,34.815353599999995,38.42307447267531
